place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1513574947,오산본플란트치과의원,2818,1738,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,오산치과 오산고난이도임플란트 오산매복사랑니발치 오산라미네이트치과 오산충치보철치료,,0.33134,0.472325,0.485457,,3,209.0,5.0,,0.0177,0.021721,0.009361
2,1166329781,킹콩치과의원,1804,689,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,오산치과 임플란트 지르코니아 스케일링 충치치료,,0.33134,0.462656,0.484727,,1,116.0,6.0,,0.0177,0.006249,0.008193
3,1057597994,오색치과의원,1389,211,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오산치과 오산임플란트 오산치아교정 원동치과 오산주말치과,,0.33134,0.460948,0.484598,,-2,95.0,0.0,,0.0177,-0.011647,0.006842
4,36932104,서울버팀치과의원 오산,4502,540,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,오산치과 오산임플란트 수면임플란트 치과의사엄용국 동탄치아교정,,0.33134,0.440252,0.483036,,-2,234.0,5.0,,0.0177,-0.019109,0.006279
5,1347880909,365라온누리치과의원,1603,743,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오산치과 오산사랑니발치치과 원데이네비게이션임플란트 오산치아교정교합치료치과 오산턱관절치료치과,,0.33134,0.421375,0.481612,,6,48.0,63.0,,0.0177,0.021016,0.009308
6,624453213,서울늘솜치과의원,554,550,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,오산치과 오산임플란트 오산충치신경치료 오산치아교정 세교치과,,0.33134,0.421322,0.481608,,2,-70.0,1.0,,0.0177,0.01418,0.008792
7,1734653812,이포유치과의원 오산점,1370,667,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,매복사랑니당일발치 무통마취신경치료치과 비급여건강보험스케일링 디지털네비게이션임플란트 오산치과,,0.33134,0.415646,0.481179,,2,168.0,2.0,,0.0177,0.009459,0.008435
8,1722600202,유앤이치과의원 오산점,2102,442,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오산치과 오산역치과 원동치과 임플란트 사랑니발치,,0.33134,0.413626,0.481027,,-2,67.0,2.0,,0.0177,-0.016694,0.006461
9,19513915,곰플란트치과의원,981,391,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오산치과 오산네비게이션임플란트 턱관절사랑니발치 원데이하이치과치아미백 클리피씨투명치아교정,,0.33134,0.412852,0.480968,,-4,267.0,11.0,,0.0177,-0.02027,0.006191
10,21697698,서울수려한치과의원,3133,642,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,오산치과 오산임플란트 오산동치과 오산역치과 오산치아교정,,0.33134,0.405304,0.480399,,0,-21.0,17.0,,0.0177,0.000313,0.007745
